,coefficient,pvalue
bedrooms,-0.023656360936827298,1.3452454464503755e-21
sqft_living15,0.000197839751035848,0.0
sqft_above,0.00025856657793448294,0.0
house_age,0.0020972463418679477,2.394784711369196e-115
reno_1.0,0.02059033229185686,3.516674892765892e-06
floors,0.031183590523355065,3.992524271365364e-11
bathrooms,0.10446994217001834,2.272139320318088e-142
cond_1.0,0.15926062589582402,0.0022846098058459073
base_1.0,0.1669362028131768,4.527491753704025e-274
cond_4.0,0.34260541811036904,1.5178474465269598e-12
cond_2.0,0.4024728723298483,9.896905623157262e-17
cond_3.0,0.4480466568480672,3.9158396889282237e-20
water_1,0.6218973598183715,3.306592794768578e-193
zip_F,0.7982842603123194,0.0
zip_D,0.8958791604101763,0.0
zip_H,0.9118473109113038,0.0
zip_E,0.9860828513537426,0.0
zip_I,1.1502275180888624,0.0
zip_G,1.2810276436783954,0.0
zip_B,1.3482297111096289,0.0
zip_C,1.4065514271257822,0.0
zip_A,1.4470481847836434,0.0
const,10.225178067773856,0.0
